df_index,open    ,high    ,close   ,low     ,volume     ,price_change,p_change,ma5      ,ma10     ,ma20     ,v_ma5       ,v_ma10      ,v_ma20      ,macd               ,dea                 ,hist                ,date      ,value
497     ,10161.94,10281.57,10155.36,10112.62,372992288.0,-85.72      ,-0.84   ,10031.956,10149.636,10739.17 ,391270502.4 ,433982249.6 ,494571092.8 ,-299.3536868751198 ,-208.63891437088412 ,-90.7147725042357   ,2020-03-26,11274.852749597238
498     ,10300.62,10310.53,10109.91,10105.72,345009888.0,-45.45      ,-0.45   ,10023.912,10077.515,10695.627,384263084.8 ,415582784.0 ,481277065.6 ,-294.4138721210602 ,-225.79390592091934 ,-68.61996620014085  ,2020-03-27,11224.392494375443
499     ,9953.04 ,9985.38 ,9904.95 ,9791.02 ,356631392.0,-204.96     ,-2.03   ,10066.596,10042.682,10621.786,377966444.8 ,399197660.8 ,472488358.4 ,-303.5385885146479 ,-241.34284243966505 ,-62.19574607498288  ,2020-03-30,10996.838392939606
500     ,10008.03,10047.98,9962.3  ,9925.68 ,315348320.0,57.35       ,0.58    ,10074.72 ,10018.637,10545.691,361364256.0 ,385816064.0 ,458172465.6 ,-302.65352485133917,-253.60497892199987 ,-49.0485459293393   ,2020-03-31,11060.510464160063
501     ,9967.12 ,10127.1 ,9951.84 ,9927.92 ,333079520.0,-10.46      ,-0.1    ,10016.872,10010.864,10468.632,344612281.6 ,373865936.0 ,449159030.4 ,-299.34547184046824,-262.75307750569357 ,-36.59239433477467  ,2020-04-01,11048.897388920901
502     ,9910.38 ,10179.2 ,10179.2 ,9896.65 ,328200768.0,227.36      ,2.29    ,10021.64 ,10026.798,10392.023,335653977.6 ,363462240.0 ,435916358.4 ,-275.20536795057706,-265.2435355946703  ,-9.961832355906779  ,2020-04-02,11301.320791060109
503     ,10155.56,10212.91,10110.11,10069.64,320031264.0,-69.09      ,-0.68   ,10021.68 ,10022.796,10318.388,330658252.8 ,357460668.8 ,424975086.4 ,-258.66739062430315,-263.92830660059684 ,5.260915976293688   ,2020-04-03,11224.614541703151
504     ,10312.71,10441.74,10428.91,10296.72,401858304.0,318.8       ,3.15    ,10126.472,10096.534,10284.406,339703635.2 ,358835040.0 ,415831262.4 ,-217.33117031882648,-254.60887934424278 ,37.2777090254163    ,2020-04-07,11578.557982070759
505     ,10372.76,10426.4 ,10386.55,10344.44,396877248.0,-42.36      ,-0.41   ,10211.322,10143.021,10233.56 ,356009420.8 ,358686838.4 ,406607368.0 ,-185.84767953454866,-240.85663938230397 ,55.00895984775531   ,2020-04-08,11531.528358062063
506     ,10453.86,10485.3 ,10463.05,10401.17,377418848.0,76.5        ,0.74    ,10313.564,10165.218,10196.71 ,364877286.4 ,354744784.0 ,398999299.2 ,-152.9606405493214 ,-223.27743961570746 ,70.31679906638607   ,2020-04-09,11616.461460910628
507     ,10459.7 ,10509.0 ,10298.41,10265.88,394773408.0,-164.64     ,-1.57   ,10337.406,10179.523,10164.58 ,378191814.4 ,356922896.0 ,395452572.8 ,-138.58497592500498,-206.33894687756697 ,67.75397095256199   ,2020-04-10,11433.672100740858
508     ,10225.53,10295.17,10223.16,10173.12,298034336.0,-75.25      ,-0.73   ,10360.016,10190.848,10134.182,373792428.8 ,352225340.8 ,383904062.4 ,-131.74552385837706,-191.42026227372898 ,59.674738415351925  ,2020-04-13,11350.126793690473
509     ,10300.96,10475.71,10475.71,10276.36,329838752.0,252.55      ,2.47    ,10369.376,10247.924,10145.303,359388518.4 ,349546076.8 ,374371868.8 ,-104.73916655422727,-174.08404312982864 ,69.34487657560138   ,2020-04-14,11350.126793690473
510     ,10468.46,10528.73,10417.37,10404.51,379199328.0,-58.34      ,-0.56   ,10375.54 ,10293.431,10156.034,355852934.4 ,355931177.6 ,370873620.8 ,-87.04063400477389 ,-156.6753613048177  ,69.6347273000438    ,2020-04-15,11350.126793690473
511     ,10361.77,10489.13,10470.79,10346.11,348703840.0,53.42       ,0.51    ,10377.088,10345.326,10178.095,350109932.8 ,357493609.6 ,365679772.8 ,-67.92092179076099 ,-138.92447340200636 ,71.00355161124537   ,2020-04-16,11408.329946052243
512     ,10562.9 ,10624.54,10527.99,10507.8 ,401492384.0,57.2        ,0.55    ,10423.004,10380.205,10203.502,351453728.0 ,364822771.2 ,364142505.6 ,-47.604099722337196,-120.66039866607252 ,73.05629894373533   ,2020-04-17,11470.651554346763
513     ,10553.55,10621.5 ,10621.5 ,10523.59,340156224.0,93.51       ,0.89    ,10502.672,10431.344,10227.07 ,359878105.6 ,366835267.2 ,362147968.0 ,-23.684377592120654,-101.26519445128216 ,77.5808168591615    ,2020-04-20,11572.534309445027
514     ,10577.72,10577.72,10506.86,10394.44,359333280.0,-114.64     ,-1.08   ,10508.902,10439.139,10267.837,365777011.2 ,362582764.8 ,360708902.4 ,-13.81901834375094 ,-83.7759592297759   ,69.95694088602497   ,2020-04-21,11447.629603590414
515     ,10424.45,10617.19,10617.19,10409.85,344848576.0,110.33      ,1.05    ,10548.866,10462.203,10302.612,358906860.8 ,357379897.6 ,358033368.0 ,2.8689869744175667 ,-66.44696998893721  ,69.31595696335478   ,2020-04-22,11567.838398050808
516     ,10657.4 ,10667.01,10564.05,10557.94,382809728.0,-53.14      ,-0.5    ,10567.518,10472.303,10318.761,365728038.4 ,357918985.6 ,356331884.8 ,11.671851688373863 ,-50.823205653475    ,62.49505734184886   ,2020-04-23,11567.838398050808
517     ,10565.09,10577.03,10423.46,10388.66,372911392.0,-140.59     ,-1.33   ,10546.612,10484.808,10332.166,360011840.0 ,355732784.0 ,356327840.0 ,7.220513766960721  ,-39.21446176938785  ,46.434975536348574  ,2020-04-24,11567.838398050808
518     ,10449.13,10531.39,10452.17,10367.29,320369792.0,28.71       ,0.28    ,10512.746,10507.709,10349.279,356054553.6 ,357966329.6 ,355095835.2 ,5.940969654549917  ,-30.183375484600298 ,36.124345139150215  ,2020-04-27,11567.838398050808
519     ,10477.76,10547.75,10501.15,10194.15,384691520.0,48.98       ,0.47    ,10511.604,10510.253,10379.089,361126201.6 ,363451606.4 ,356498841.6 ,8.778010937936415  ,-22.391098200092955 ,31.16910913802937   ,2020-04-28,11567.838398050808
520     ,10460.99,10586.57,10514.17,10449.37,290232000.0,13.02       ,0.12    ,10491.0  ,10519.933,10406.682,350202886.4 ,354554873.6 ,355243025.6 ,11.939362246141172 ,-15.525006110846128 ,27.4643683569873    ,2020-04-29,11567.838398050808
521     ,10575.52,10751.75,10721.78,10575.52,348102528.0,207.61      ,1.98    ,10522.546,10545.032,10445.179,343261446.4 ,354494742.4 ,355994176.0 ,30.841624812443115 ,-6.251679926188279  ,37.093304738631396  ,2020-04-30,11567.838398050808
522     ,10618.17,10884.34,10883.22,10613.89,350163200.0,161.44      ,1.51    ,10614.498,10580.555,10480.38 ,338711808.0 ,349361824.0 ,357092297.6 ,58.17802283660967  ,6.63426062637131    ,51.54376221023836   ,2020-05-06,11567.838398050808
